Drug,statistic,PASI75,SIB,Infection
BRO 140,estimate,0.667,0,0.228
BRO 210,estimate,0.853,0.0007,0.275
UST,estimate,0.697,0,0.254
PBO,estimate,0.059,0,0.234
BRO 140,ci-lower,0.643,0,0.206704623
BRO 210,ci-lower,0.834,0,0.252373486
UST,ci-lower,0.658,0,0.219540884
PBO,ci-lower,0.044,0,0.206011736
BRO 140,ci-upper,0.692,0.002012072,0.249295377
BRO 210,ci-upper,0.871,0.00204023,0.297626514
UST,ci-upper,0.733,0.004893964,0.288459116
PBO,ci-upper,0.077,0.003412969,0.261988264
